Title,Directed by,Produced by,Cinematography,Country,Running Time (int),Release Date (datetime),Distributed by,Language,Written by,Starring,Edited by,Music by,Production companies,Based on,Story by,Budget (float),Box Office (float),Box Office Status,Release Year,Trailer ID,Trailer Title
The Black Waters of Echo's Pond,Gabriel Bologna,"['Raymond J. Markovich', 'Jason Loughbridge']","Massimo Zeri, AIC",United States,,2009-10-11,Parallel Media,English,"['Michael Berenson', 'Gabriel Bologna', 'Sean Clark']","['Robert Patrick', 'Danielle Harris', 'James Duval', 'Nick Mennell', 'Mircea Monroe']","['Andrew Cohen', 'Michael Spencer']",Harry Manfredini,"['Parallel Media', 'Project 8 Films']",,,5000000.0,224409.0,Failure,2009,nw2xETTjQZ0,
Death at a Funeral,Neil LaBute,"['Sidney Kimmel', 'William Horberg', 'Chris Rock', 'Share Stallings', 'Laurence Malkin']",Rogier Stoffers,,92.0,2010-04-12,Screen Gems (through Sony Pictures Releasing ),English,Dean Craig,"['Loretta Devine', 'Peter Dinklage', 'Danny Glover', 'Regina Hall', 'Martin Lawrence', 'James Marsden', 'Tracy Morgan', 'Chris Rock', 'Zoë Saldaña', 'Columbus Short', 'Luke Wilson', 'Keith David', 'Ron Glass', 'Kevin Hart']",Tracey Wadmore-Smith,Christophe Beck,"['Sidney Kimmel Entertainment', 'Wonderful Films', 'Parabolic Pictures', 'Stable Way Entertainment']","['Death at a Funeral', 'by Dean Craig']",,21000000.0,49100000.0,Success,2010,LkbR3nQqcrk,
Kick-Ass,Matthew Vaughn,"['Matthew Vaughn', 'Brad Pitt', 'Kris Thykier', 'Adam Bohling', 'Tarquin Pack', 'David Reid']",Ben Davis,,118.0,2010-03-12,"['Lionsgate (United States)', 'Focus Features International (Uncredited; United Kingdom, Australia, Germany, Latin America, Austria, Switzerland and New Zealand; through Universal Pictures )']",English,"['Jane Goldman', 'Matthew Vaughn']","['Aaron Johnson', 'Christopher Mintz-Plasse', 'Chloë Grace Moretz', 'Mark Strong', 'Nicolas Cage']","['Pietro Scalia', 'Jon Harris', 'Eddie Hamilton']","['John Murphy', 'Henry Jackman', 'Marius de Vries', 'Ilan Eshkeri']","['Marv Films', 'Plan B Entertainment']","['Mark Millar', 'John Romita Jr.']",,28000000.0,96200000.0,Success,2010,2rpXHqnGDXo,
The City of Your Final Destination,James Ivory,"['Paul Bradley', 'Pierre Proner']",Javier Aguirresarobe,United States,118.0,2009-03-21,Screen Media Films,English,Ruth Prawer Jhabvala,"['Anthony Hopkins', 'Laura Linney', 'Charlotte Gainsbourg', 'Norma Aleandro', 'Alexandra Maria Lara', 'Omar Metwally', 'Hiroyuki Sanada']",John David Allen,Jorge Drexler,"['Hyde Park International', 'Merchant Ivory Productions']","['The City of Your Final Destination', 'by ', 'Peter Cameron']",,8300000.000000001,1400000.0,Failure,2009,ZUIN-58F0vc,
The Joneses,Derrick Borte,"['Derrick Borte', 'Doug Mankoff', 'Andrew Spaulding', 'Kristi Zea']",Yaron Orbach,United States,96.0,2009-09-13,Roadside Attractions,English,Derrick Borte,"['Demi Moore', 'David Duchovny', 'Amber Heard', 'Ben Hollingsworth', 'Gary Cole', 'Lauren Hutton']",Janice Hampton,Nick Urata,"['Premiere Picture', 'Echo Lake Productions']",,,10000000.0,7000000.0,Failure,2009,102fYNaBogE,
Oceans,"['Jacques Perrin', 'Jacques Cluzaud ', '(co-director)']","['Jacques Perrin', 'Romain Legrand', 'Nicolas Mauvernay', 'Jake Eberts']",David Reichert,France,104.0,2009-10-17,Pathé Distribution,French,"['Christophe Cheysson', 'Jacques Cluzaud', 'Laurent Debas', 'Stéphane Durand', 'Laurent Gaudé', 'Jacques Perrin', 'François Sarano']",,"['Catherine Mauchain', 'Vincent Schmidt']",Bruno Coulais,"['Pathé', 'Participant Media', 'Galatée Films', 'France 2 Cinéma', 'France 3 Cinéma', 'Canal+', 'TPS Star', 'Alfred P. Sloan Foundation', 'Census of Marine Life']",,,80000000.0,82700000.0,Failure,2009,uXLbQrK6cXw,
The Back-up Plan,Alan Poul,"['Todd Black', 'Jason Blumenthal', 'Steve Tisch']",Xavier Pérez Grobet,United States,104.0,2010-04-23,"['CBS Films', ' (United States)', 'Sony Pictures Releasing International', ' (International)']",English,Kate Angelo,"['Jennifer Lopez', ""Alex O'Loughlin"", 'Eric Christian Olsen', 'Anthony Anderson', 'Linda Lavin']",Priscilla Nedd-Friendly,Stephen Trask,Escape Artists,,,35000000.0,77500000.0,Failure,2010,cut4IW0oz1w,
The Losers,Sylvain White,"['Joel Silver', 'Akiva Goldsman', 'Kerry Foster']",Scott Kevan,United States,97.0,2010-04-23,Warner Bros. Pictures,English,"['Peter Berg', 'James Vanderbilt']","['Jeffrey Dean Morgan', 'Zoe Saldana', 'Chris Evans', 'Idris Elba', 'Columbus Short', 'Oscar Jaenada', 'Jason Patric']",David Checel,John Ottman,"['Dark Castle Entertainment', 'Vertigo (DC)', 'StudioCanal', 'Weed Road Pictures']","['Andy Diggle', 'Jock']",,25000000.0,29900000.0,Failure,2010,PXAy4p9RVq0,
Boogie Woogie,Duncan Ward,"['Danny Moynihan', 'Kami Naghdi', 'Christopher Simon', 'Cat Villiers']",John Mathieson,United Kingdom,94.0,2009-06-26,Vertigo Films,English,Danny Moynihan,"['Gillian Anderson', 'Alan Cumming', 'Heather Graham', 'Danny Huston', 'Christopher Lee', 'Joanna Lumley', 'Charlotte Rampling', 'Amanda Seyfried', 'Stellan Skarsgård', 'Jaime Winstone']",Kant Pan,Janusz Podrazik,"['The Works International', 'Constance Media', 'Firefly Films', 'Muse Productions', 'P&C Arcade Films', 'Piccadilly Pictures', 'Autonomous', 'Colourframe', 'S Films']","['Boogie Woogie', 'by Danny Moynihan']",,6000000.0,47527.0,Failure,2009,2SzNnR6OElw,
Furry Vengeance,Roger Kumble,"['Robert Simonds', 'Keith Goldberg']",Peter Lyons Collister,United States,92.0,2010-04-30,Summit Entertainment,English,"['Michael Carnes', 'Josh Gilbert']","['Brendan Fraser', 'Brooke Shields', 'Ken Jeong']",Lawrence Jordan,Edward Shearmur,"['Participant Media', 'Imagenation Abu Dhabi', 'Robert Simonds Productions']",,,35000000.0,36200000.0,Failure,2010,FQAx4_So3UE,
A Nightmare on Elm Street,Samuel Bayer,"['Michael Bay', 'Andrew Form', 'Brad Fuller']",Jeff Cutter,United States,95.0,2010-04-27,Warner Bros. Pictures,English,"['Wesley Strick', 'Eric Heisserer']","['Jackie Earle Haley', 'Kyle Gallner', 'Rooney Mara', 'Katie Cassidy', 'Thomas Dekker', 'Kellan Lutz']",Glen Scantlebury,Steve Jablonsky,"['New Line Cinema', 'Platinum Dunes']","['A Nightmare on Elm Street', 'by ', 'Wes Craven']",Wesley Strick,35000000.0,117700000.0,Success,2010,ZuYoEtEI_go,
Freakonomics,"['Heidi Ewing', 'Alex Gibney', 'Seth Gordon', 'Rachel Grady', 'Eugene Jarecki', 'Morgan Spurlock']","['Chad Troutwine', 'Chris Romano', ""Dan O'Meara""]","['Junji Aoki', 'Derek Hallquist', 'Tony Hardmon', 'Darren Lew', 'Daniel Marracino', 'Ferne Pearlstein', 'Rob VanAlkemade']",United States,85.0,2010-04-30,Magnolia Pictures,English,"['Peter Bull', 'Alex Gibney', 'Jeremy Chilnick', 'Morgan Spurlock', 'Eugene Jarecki', 'Heidi Ewing', 'Rachel Grady', 'Seth Gordon']",,"['Douglas Blush', 'Tova Goodman', 'Sloane Klevin', 'Luis Lopez', 'Nelson Ryland', 'Michael Taylor']","['Paul Brill', 'Craig DeLeon', 'Michael Furjanic', 'Human', 'Mike MacAllister', 'Peter Nashel', 'Jon Spurney', 'Michael Wandmacher']","['Chad Troutwine Films', 'Cold Fusion Media Group', 'Green Film Company', 'Human Worldwide', 'Jigsaw Productions', 'Loki Films']",,,2900000.0,103735.0,Failure,2010,03FwPdQ4Gew,
Harry Brown,Daniel Barber,"['Matthew Vaughn', 'Kris Thykier', 'Matthew Brown', 'Keith Bell']",Martin Ruhe,United Kingdom,103.0,2009-09-12,Lionsgate,English,Gary Young,"['Michael Caine', 'Emily Mortimer', 'Charlie Creed-Miles', 'David Bradley', 'Iain Glen', 'Sean Harris', 'Ben Drew', ""Jack O'Connell"", 'Jamie Downey', 'Liam Cunningham']",Joe Walker,"['Martin Phipps', 'Ruth Barrett', 'Pete Tong', 'Theo Green', 'Paul Rogers']","['Marv Partners', 'UK Film Council', 'HanWay Films', 'Prescience', 'Framestore Features']",,,7300000.0,10300000.0,Failure,2009,-ubzuRLiIpE,
Please Give,Nicole Holofcener,Anthony Bregman,Yaron Orbach,United States,87.0,2010-01-22,Sony Pictures Classics,English,Nicole Holofcener,"['Catherine Keener', 'Amanda Peet', 'Oliver Platt', 'Rebecca Hall', 'Ann Guilbert', 'Sarah Steele']",Robert Frazen,Marcelo Zarvos,Likely Story,,,3000000.0,4500000.0,Failure,2010,KNbPnqyvItk,
Iron Man 2,Jon Favreau,Kevin Feige,Matthew Libatique,United States,125.0,2010-04-26,Paramount Pictures,English,Justin Theroux,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle', 'Scarlett Johansson', 'Sam Rockwell', 'Mickey Rourke', 'Samuel L. Jackson']","['Dan Lebental', 'Richard Pearson']",John Debney,Marvel Studios,"['Stan Lee', 'Larry Lieber', 'Don Heck', 'Jack Kirby']",,170000000.0,623900000.0,Success,2010,BoohRoVA9WQ,
Mother and Child,Rodrigo García,"['Lisa Maria Falcone ', ' Julie Lynn']",Xavier Pérez Grobet,,125.0,2009-09-14,Sony Pictures Classics,English,Rodrigo García,"['Naomi Watts', 'Annette Bening', 'Kerry Washington', 'Jimmy Smits', 'Samuel L. Jackson', 'David Morse', 'David Ramsey']",Steven Weisberg,Ed Shearmur,"['Cha Cha Cha Films', 'Everest Entertainment', 'Mockingbird Pictures']",,,7000000.0,5600000.0,Failure,2009,PyWFxUkPpag,
Just Wright,Sanaa Hamri,"['Debra Martin Chase', 'Queen Latifah', 'Shakim Compere']",Terry Stacey,United States,101.0,2010-05-14,Fox Searchlight Pictures,English,Michael Elliot,"['Queen Latifah', 'Common', 'Paula Patton']",Melissa Kent,"['Wendy Melvoin', 'Lisa Coleman']","['Flavor Unit Entertainment', 'Dune Entertainment']",,,12000000.0,21500000.0,Failure,2010,ZHYSeSAXQf4,
Letters to Juliet,Gary Winick,"['Caroline Kaplan', 'Ellen Barkin', 'Mark Canton']",Marco Pontecorvo,United States,105.0,2010-04-25,Summit Entertainment,,"['José Rivera', 'Tim Sullivan']","['Amanda Seyfried', 'Christopher Egan', 'Gael García Bernal', 'Vanessa Redgrave', 'Franco Nero']",Bill Pankow,Andrea Guerra,Applehead Pictures,,,30000000.0,80000000.0,Success,2010,8j0qMY-LeKM,
Robin Hood,Ridley Scott,"['Ridley Scott', 'Brian Grazer', 'Russell Crowe']",John Mathieson,,140.0,2010-05-12,Universal Pictures,English,Brian Helgeland,"['Russell Crowe', 'Cate Blanchett', 'William Hurt', 'Mark Strong', 'Mark Addy', 'Oscar Isaac', 'Danny Huston', 'Eileen Atkins', 'Max von Sydow']",Pietro Scalia,Marc Streitenfeld,"['Imagine Entertainment', 'Relativity Media', 'Scott Free Productions']",,"['Brian Helgeland', 'Ethan Reiff Cyrus Voris']",155000000.0,321700000.0,Failure,2010,fQ6zXDSgwIY,
Here and There,Darko Lungulov,"['Darko Lungulov', 'George Lekovic', 'David Nemer', 'Vladan Nikolic']",Mathias Schöningh,Serbia,,2009-04-22,"['Vivendi Entertainment', 'Lightyear Entertainment']",Serbian,Darko Lungulov,"['David Thornton', 'Branislav Trifunović', 'Cyndi Lauper', 'Mirjana Karanović', 'Jelena Mrđa', 'Antone Pagan']",,,,,,300000.0,18000.0,Failure,2009,N-ewaCVARtM,
Princess Kaiulani,Marc Forby,"['Lauri Apelion', 'Marc Forby', 'Ricardo S. Galindez', 'Nigel Thomas', 'Roy Tjioe']",,,97.0,2009-10-16,Roadside Attractions,English,"['Marc Forby', 'Robert Payne']","[""Q'orianka Kilcher"", 'Barry Pepper', 'Will Patton', 'Julian Glover', 'Shaun Evans']",,Stephen Warbeck,"['Island Film Group', 'ContentFilm']",,,9000000.0,883887.0,Failure,2009,YyIUR7TXldg,
MacGruber,Jorma Taccone,"['Lorne Michaels', 'John Goldwyn']",Brandon Trost,United States,91.0,2010-03-15,Universal Pictures,English,"['Will Forte', 'John Solomon', 'Jorma Taccone']","['Will Forte', 'Kristen Wiig', 'Ryan Phillippe', 'Val Kilmer', 'Maya Rudolph', 'Powers Boothe']",Jamie Gross,Matthew Compton,"['Rogue Pictures', 'Relativity Media', 'Michaels - Goldwyn']","['Will Forte', 'John Solomon', 'Jorma Taccone']",,10000000.0,9300000.0,Failure,2010,PKYrghKwu2E,
Shrek Forever After,Mike Mitchell,"['Gina Shay', 'Teresa Cheng']",Yong Duk Jhun,United States,93.0,2010-04-21,"['Paramount Pictures', 'DreamWorks Animation']",English,"['Josh Klausner', 'Darren Lemke']","['Mike Myers', 'Eddie Murphy', 'Cameron Diaz', 'Antonio Banderas', 'Julie Andrews', 'Walt Dohrn']",Nick Fletcher,Harry Gregson-Williams,[''],"['Shrek!', 'by ', 'William Steig']",,135000000.0,756200000.0,Success,2010,Ma9oseKpj9g,
John Rabe,Florian Gallenberger,"['Benjamin Herrmann', 'Mischa Hofmann', 'Jan Mojto']",Jürgen Jürges,,134.0,2009-04-02,"['20th Century Fox (Germany)', 'Aramis Films (France)', 'Huayi Brothers (China)']",,Florian Gallenberger,"['Ulrich Tukur', 'Daniel Brühl', 'Steve Buscemi', 'Anne Consigny', 'Jingchu Zhang']",Hansjörg Weißbrich,Annette Focks,"['Majestic Filmproduktion', 'Canal+', 'Huayi Brothers', 'France 2 Cinéma', 'Antena 3 Films', 'RAI Cinema', 'ORF']",,,20000000.0,1500000.0,Failure,2009,eTR97Yvspx4,
Kites,Anurag Basu,"['Rakesh Roshan (Hindi version)', 'Brett Ratner', ' (English version)']",Ayananka Bose,India,130.0,2010-05-21,Reliance BIG Pictures,,"['Robin Bhatt', 'Akarsh Khurana', 'Anurag Basu']","['Hrithik Roshan', 'Barbara Mori', 'Kangana Ranaut', 'Kabir Bedi', 'Nicholas Brown']","['Akiv Ali', 'Mark Helfrich', ' (English version)']","['Songs:', 'Rajesh Roshan', 'Background Score:', 'Salim–Sulaiman']",Filmkraft Productions Pvt. Ltd,,Rakesh Roshan,17930000.0,19030000.0,Failure,2010,rezNHSKgDH0,
Solitary Man,"['Brian Koppelman', 'David Levien']","['Moshe Diamant', 'Danny Dimbort', 'Joe Gatta', ' ', 'Jared Ian Goldman', 'Steven Soderbergh']",Alwin H. Küchler,United States,90.0,2010-05-07 00:00:00,"['Millennium Films', 'Smartest Man Productions']",English,Brian Koppelman,"['Michael Douglas', 'Jenna Fischer', 'Jesse Eisenberg', 'Mary-Louise Parker', 'Imogen Poots', 'Susan Sarandon', 'Danny DeVito']",Tricia Cooke,Michael Penn,,,,15000000.0,5680000.0,Failure,2010,lm95_LnjUJQ,
Sex and the City 2,Michael Patrick King,"['Michael Patrick King', 'Sarah Jessica Parker', 'Darren Star', 'John Melfi']",John Thomas,United States,146.0,2010-05-27,Warner Bros. Pictures,English,Michael Patrick King,"['Sarah Jessica Parker', 'Kim Cattrall', 'Kristin Davis', 'Cynthia Nixon', 'John Corbett', 'Chris Noth']",Michael Berenbaum,Aaron Zigman,"['New Line Cinema', 'HBO Films', 'Village Roadshow Pictures']","['Characters', 'by ', 'Candace Bushnell', 'Sex and the City', 'by ', 'Darren Star']",,95000000.0,294700000.0,Success,2010,pY7sAJm8Fuk,
Prince of Persia: The Sands of Time,Mike Newell,Jerry Bruckheimer,John Seale,United States,116.0,2010-05-09,"['Walt Disney Studios', 'Motion Pictures']",English,"['Boaz Yakin', 'Doug Miro', 'Carlo Bernard']","['Jake Gyllenhaal', 'Ben Kingsley', 'Gemma Arterton', 'Alfred Molina']","['Michael Kahn', 'Martin Walsh', 'Mick Audsley']",Harry Gregson-Williams,"['Walt Disney Pictures', 'Jerry Bruckheimer Films']","['Prince of Persia', 'by Jordan Mechner']",Jordan Mechner,150000000.0,336400000.0,Failure,2010,bZ7Li5w2I-k,
Father of My Children,Mia Hansen-Løve,"['Oliver Damian', 'Philippe Martin', 'David Thion']",Pascal Auffray,France,112.0,2009-05-17,Les Films du Losange,French,Mia Hansen-Løve,"['Louis-Do de Lencquesaing', 'Chiara Caselli']",Marion Monnier,,,,,2300000.0,1200000.0,Failure,2009,kCtbh6tbGLQ,
Micmacs,Jean-Pierre Jeunet,"['Frédéric Brillion', 'Gilles Legrand']",Tetsuo Nagata,France,105.0,2009-09-15,Warner Bros. Entertainment France,French,"['Jean-Pierre Jeunet', 'Guillaume Laurent']",Dany Boon,Hervé Schneid,"['Raphaël Beau', 'Max Steiner']","['Epithéte Films', 'Tapioca Films', 'France 3 Cinéma']",,,30800000.0,16700000.0,Failure,2009,TjKW0tG7I8s,
Survival of the Dead,George A. Romero,Paula Devonshire,Adam Swica,,90.0,2009-09-09,"['Magnet Releasing', 'Entertainment One Films']",English,George A. Romero,"['Alan van Sprang', 'Kenneth Welsh', 'Kathleen Munroe', 'Richard Fitzpatrick', 'Athena Karkanis', 'Stefano Di Matteo', 'Joris Jarsky', 'Eric Woolfe', 'Julian Richings', 'Wayne Robson']",Michael Doherty,Robert Carli,"['Artfire Films', 'Romero-Grunwald Productions', 'Devonshire Productions']",,,4000000.0,386078.0,Failure,2009,iOj3Wjr5eao,
Get Him to the Greek,Nicholas Stoller,"['Judd Apatow', 'Joshua Blake', 'David Bushell', 'Rodney Rothman', 'Nicholas Stoller']",Robert Yeoman,United States,109.0,2010-06-04,Universal Pictures,English,Nicholas Stoller,"['Jonah Hill', 'Russell Brand', 'Elisabeth Moss', 'Rose Byrne', 'Colm Meaney', 'Sean Combs']","['William Kerr', 'Michael Sale']",Lyle Workman,"['Apatow Productions', 'Relativity Media', 'Spyglass Entertainment']","['Characters', 'by ', 'Jason Segel']",,40000000.0,95500000.0,Success,2010,scixoG_Tzdo,
Killers,Robert Luketic,"['Scott Aversano', 'Jason Goldberg', 'Mike Karz', 'Ashton Kutcher', 'Chad Marting', 'Christopher S. Pratt', 'Josie Rosen']",Russell Carpenter,United States,100.0,2010-06-01,Lionsgate,English,"['Bob DeRosa', 'Ted Griffin']","['Ashton Kutcher', 'Katherine Heigl', 'Tom Selleck', ""Catherine O'Hara""]","['Mary Jo Markey', 'Richard Francis-Bruce']",Rolfe Kent,['Katalyst Media'],,Bob DeRosa,75000000.0,98200000.0,Failure,2010,jE-i7GnoCCA,
Marmaduke,Tom Dey,John Davis,Greg Gardiner,United States,86.0,2010-06-04,20th Century Fox,English,"['Tim Rasmussen', 'Vince Di Meglio']","['Owen Wilson', 'Lee Pace', 'Judy Greer', 'William H. Macy', 'Steve Coogan', 'Sam Elliott', 'Fergie', 'George Lopez', 'Christopher Mintz-Plasse', 'Emma Stone', 'Kiefer Sutherland', 'Marlon Wayans']",Don Zimmerman,Christopher Lennertz,"['20th Century Fox', 'Regency Enterprises', 'Davis Entertainment', 'Dune Entertainment']","['Marmaduke', 'by ', 'Brad Anderson', ', Paul Anderson ', ' Michael Devito & Phil Leeming']",,50000000.0,83800000.0,Failure,2010,AXXzwy7lDtI&t=7s,
Splice,Vincenzo Natali,Steve Hoban,Tetsuo Nagata,,104.0,2009-10-06,"['Gaumont (France)', 'Les Films Séville (Canada)']",English,"['Vincenzo Natali', 'Antoinette Terry Bryant', 'Doug Taylor']","['Adrien Brody', 'Sarah Polley', 'Delphine Chanéac']",Michele Conroy,Cyrille Aufort,"['Copperheart Entertainment', 'Gaumont', 'Telefilm Canada', 'Ontario Media Development Corporation']",,"['Vincenzo Natali', 'Antoinette Terry Bryant']",30000000.0,27100000.0,Failure,2009,8pIeSYhipUs,
Ondine,Neil Jordan,"['Ben Browning', 'James Flynn', 'Neil Jordan']",Christopher Doyle,Ireland,111.0,2009-09-14,Paramount Vantage,,Neil Jordan,"['Colin Farrell', 'Alicja Bachleda']",Tony Lawson,Kjartan Sveinsson,"['Wayfare Entertainment', 'Little Wave', 'Octagon Films']",,,12000000.0,1644755.0,Failure,2009,rs8DiJaLhlY,Ondine HD Trailer Starring Colin Farrell
The A-Team,Joe Carnahan,"['Stephen J. Cannell', 'Tony Scott', 'Spike Seldin', 'Jules Daly', 'Alex Young', 'Iain Smith']",Mauro Fiore,United States,119.0,2010-06-11,20th Century Fox,English,"['Joe Carnahan', 'Brian Bloom', 'Skip Woods']","['Liam Neeson', 'Bradley Cooper', 'Jessica Biel', 'Quinton Jackson', 'Sharlto Copley', 'Patrick Wilson']","['Roger Barton', 'Jim May']",Alan Silvestri,"['Dune Entertainment', 'Top Cow Productions', 'Scott Free Productions']","['Stephen J. Cannell', 'Frank Lupo']",,100000000.0,177200000.0,Failure,2010,II3O4FUoSho,Official trailer - The A-Team
The Karate Kid,Harald Zwart,"['Jerry Weintraub', 'Will Smith', 'Jada Pinkett Smith', 'James Lassiter', 'Ken Stovitz']",Roger Pratt,,140.0,2010-06-11,"['Sony Pictures Releasing', ' (United States and International)', 'EDKO', ' (China and Hong Kong)']",English,Christopher Murphey,"['Jaden Smith', 'Jackie Chan', 'Taraji P. Henson']",Joel Negron,James Horner,"['Columbia Pictures', 'China Film Group', 'Overbrook Entertainment', 'JW Productions']",,Robert Mark Kamen,40000000.0,359100000.0,Success,2010,XY8amUImEu0,THE KARATE KID - Official Trailer (HD)
Coco Chanel & Igor Stravinsky,Jan Kounen,"['Chris Bolzli', 'Claudie Ossard', 'Veronika Zonabend']",David Ungaro,France,118.0,2009-05-24,Wild Bunch Distribution,,"['Carlo de Boutiny', 'Jan Kounen']","['Anna Mouglalis', 'Mads Mikkelsen']",Anne Danché,Gabriel Yared,,Coco & Igor by,,12000000.0,6200000.0,Failure,2009,O8yVI81zGXI,Coco Chanel &amp; Igor Stravinsky (2009) - Trailer International
Winter's Bone,Debra Granik,"['Anne Rosellini ', 'Alix Madigan-Yorkin']",Michael McDonough,United States,100.0,2010-01-21,Roadside Attractions,English,"['Debra Granik ', 'Anne Rosellini']","['Jennifer Lawrence', 'John Hawkes', 'Kevin Breznahan', 'Dale Dickey', 'Garret Dillahunt', 'Sheryl Lee', 'Tate Taylor']",Affonso Gonçalves,Dickon Hinchliffe,"['Anonymous Content', ' ', ""Winter's Bone Productions""]","[""Winter's Bone"", 'by ', 'Daniel Woodrell']",,2000000.0,16100000.000000002,Success,2010,bE_X2pDRXyY,WINTER&#39;S BONE - Official US Theatrical Trailer in HD
Jonah Hex,Jimmy Hayward,"['Akiva Goldsman', 'Andrew Lazar']",Mitchell Amundsen,United States,81.0,2010-06-18,Warner Bros. Pictures,English,Neveldine & Taylor,"['Josh Brolin', 'John Malkovich', 'Megan Fox', 'Michael Fassbender', 'Will Arnett', 'Michael Shannon']","['Fernando Villena', 'Tom Lewis']","['Marco Beltrami', 'Mastodon']","['Legendary Pictures', 'DC Entertainment', 'Weed Road Pictures', 'Mad Chance Productions']","['John Albano', 'Tony DeZuniga']","['William Farmer', 'Neveldine & Taylor']",47000000.0,11000000.0,Failure,2010,GVukfleQl_c,🎥 JONAH HEX (2010) | Movie Trailer | Full HD | 1080p
