Title,Directed by,Produced by,Cinematography,Country,Running Time (int),Release Date (datetime),Distributed by,Language,Written by,Starring,Edited by,Music by,Production companies,Based on,Story by,Budget (float),Box Office (float),Box Office Status
The Internship,Shawn Levy,"['Vince Vaughn', 'Shawn Levy']",Jonathan Brown,United States,119,2013-06-07,20th Century Fox,English,"['Vince Vaughn', 'Jared Stern']","['Vince Vaughn', 'Owen Wilson', 'Rose Byrne', 'Max Minghella']",Dean Zimmerman,Christophe Beck,"['Regency Enterprises', '21 Laps Entertainment', 'Wild West Picture Show Productions', 'TSG Entertainment']",,Vince Vaughn,58000000.0,93500000.0,Failure
Much Ado About Nothing,Joss Whedon,"['Joss Whedon', 'Kai Cole']",Jay Hunter,United States,108,2012-09-08,"['Lionsgate', 'Roadside Attractions']",Early Modern English,Joss Whedon,"['Amy Acker', 'Alexis Denisof', 'Reed Diamond', 'Nathan Fillion', 'Clark Gregg', 'Fran Kranz', 'Sean Maher', 'Jillian Morgese']","['Daniel Kaminsky', 'Joss Whedon']",Joss Whedon,Bellwether Pictures,"['Much Ado About Nothing', 'by ', 'William Shakespeare']",,,5300000.0,
The Purge,James DeMonaco,"['Jason Blum', 'Sébastien K. Lemercier', 'Michael Bay', 'Andrew Form', 'Brad Fuller']",Jacques Jouffret,United States,85,2013-05-02,Universal Pictures,English,James DeMonaco,"['Ethan Hawke', 'Lena Headey', 'Adelaide Kane', 'Max Burkholder']",Peter Gvozdas,Nathan Whitehead,"['Blumhouse Productions', 'Platinum Dunes', 'Why Not Productions']",,,3000000.0,91300000.0,Success
Tiger Eyes,Lawrence Blume,"['Judy Blume', 'Lawrence Blume', 'George Cooper', 'Ruth Pomerance', 'Linda Moran', 'Rene Bastian']",Seamus Tierney,United States,92,2012-04-04,,,"['Judy Blume', 'Lawrence Blume']","['Willa Holland', 'Amy Jo Johnson', 'Cynthia Stevenson', 'Tatanka Means', 'Elise Eberle', 'Russell Means']",Jay Freund,['Nathan Larson'],,,,,27160.0,
Violet & Daisy,Geoffrey Fletcher,"['Geoffrey Fletcher', 'Bonnie Timmermann']",Vanja Cernjul,United States,88,2011-09-15,Cinedigm Entertainment,English,Geoffrey Fletcher,"['Saoirse Ronan', 'Alexis Bledel', 'James Gandolfini', 'Danny Trejo', 'Marianne Jean-Baptiste']",Joe Klotz,Paul Cantelon,"['Magic Violet', 'GreeneStreet Films']",,,8000000.0,108139.0,Failure
This Is the End,"['Seth Rogen', 'Evan Goldberg']","['Seth Rogen', 'Evan Goldberg', 'James Weaver']",Brandon Trost,United States,107,2013-06-03,Sony Pictures Releasing,English,"['Seth Rogen', 'Evan Goldberg']","['James Franco', 'Jonah Hill', 'Seth Rogen', 'Jay Baruchel', 'Danny McBride', 'Craig Robinson', 'Michael Cera', 'Emma Watson']",Zene Baker,Henry Jackman,"['Columbia Pictures', 'Mandate Pictures', 'Point Grey Pictures']","['Jay and Seth Versus the Apocalypse', 'by Jason Stone']",,32000000.0,126500000.0,Success
The Bling Ring,Sofia Coppola,"['Roman Coppola', 'Sofia Coppola', 'Youree Henley']","['Harris Savides', 'Christopher Blauvelt']",,90,2013-05-16,"['A24 (United States)', 'StudioCanal (United Kingdom)', 'Pathé (France)', 'Tobis Film (Germany)', 'Tohokushinsha Film (Japan)']",English,Sofia Coppola,"['Israel Broussard', 'Katie Chang', 'Taissa Farmiga', 'Claire Julien', 'Georgia Rock', 'Emma Watson', 'Leslie Mann']",Sarah Flack,"['Brian Reitzell', 'Daniel Lopatin']","['American Zoetrope', 'NALA Films', 'Pathé Distribution', 'StudioCanal', 'Tobis Film', 'Tohokushinsha Film', 'FilmNation Entertainment']","['""The Suspects Wore Louboutins""', 'by ', 'Nancy Jo Sales']",,8199999.999999999,20200000.0,Success
Hatchet III,B. J. McDonnell,"['Sarah Elbert', 'Adam Green']",Will Barratt,United States,82,2013-06-14,Dark Sky Films,English,Adam Green,"['Danielle Harris', 'Caroline Williams', 'Zach Galligan', 'Derek Mears', 'Rileah Vanderbilt', 'Parry Shen', 'Kane Hodder']",Ed Marx,Scott Glasgow,"['Dark Sky Films', 'ArieScope Pictures']",,,1200000.0,,
Man of Steel,Zack Snyder,"['Charles Roven', 'Christopher Nolan', 'Emma Thomas', 'Deborah Snyder']",Amir Mokri,,143,2013-06-10,Warner Bros. Pictures,English,David S. Goyer,"['Henry Cavill', 'Amy Adams', 'Michael Shannon', 'Kevin Costner', 'Diane Lane', 'Laurence Fishburne', 'Antje Traue', 'Ayelet Zurer', 'Christopher Meloni', 'Russell Crowe']",David Brenner,Hans Zimmer,"['Warner Bros. Pictures', 'Legendary Pictures', 'DC Entertainment', 'Syncopy', 'Peters Entertainment']","['Characters', ' appearing in comic books published', 'by ', 'DC Entertainment']","['David S. Goyer', 'Christopher Nolan']",225000000.0,668000000.0,Success
My Little Pony: Equestria Girls,Jayson Thiessen,"['Sarah Wall', 'Devon Cody']",,,73,2013-06-15,"['Screenvision (United States theatrical)', 'Cineplex Entertainment (Canadian theatrical)']",English,Meghan McCarthy,"['Tara Strong', 'Ashleigh Ball', 'Andrea Libman', 'Tabitha St. Germain', 'Cathy Weseluck', 'Rebecca Shoichet']",Mark Kuehnel,William Anderson,"['DHX Media', 'Hasbro Studios']","['My Little Pony: Friendship Is Magic', ' Series Developed for Television', 'by ', 'Lauren Faust']",,,488232.0,
